date,day_of_week,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,net_pnl,cumulative_pnl,max_open_positions,first_trade_time,last_trade_time,data_period
2023-04-14,Friday,7,4,0,3,1,6,14.3,-40.38,110723.58,3,2023-04-14 09:45:00,2023-04-14 15:30:00,2022-2024 (blind test)
2023-04-17,Monday,5,3,1,1,1,4,20.0,-128.70,110594.88,3,2023-04-17 10:15:00,2023-04-17 15:45:00,2022-2024 (blind test)
2023-04-18,Tuesday,4,1,0,3,1,3,25.0,272.64,110867.52,3,2023-04-18 09:30:00,2023-04-18 15:00:00,2022-2024 (blind test)
2023-04-19,Wednesday,3,2,0,1,1,2,33.3,96.48,110964.00,3,2023-04-19 09:30:00,2023-04-19 12:45:00,2022-2024 (blind test)
2023-04-20,Thursday,11,6,1,4,3,8,27.3,185.76,111149.76,3,2023-04-20 09:30:00,2023-04-20 15:45:00,2022-2024 (blind test)
2023-04-21,Friday,5,2,1,2,2,3,40.0,310.80,111460.56,3,2023-04-21 10:00:00,2023-04-21 14:15:00,2022-2024 (blind test)
2023-04-24,Monday,7,3,1,3,1,6,14.3,-353.88,111106.68,3,2023-04-24 09:45:00,2023-04-24 12:00:00,2022-2024 (blind test)
2023-04-25,Tuesday,12,10,0,2,3,9,25.0,18.42,111125.10,3,2023-04-25 10:00:00,2023-04-25 15:45:00,2022-2024 (blind test)
2023-04-26,Wednesday,10,6,1,3,1,9,10.0,-594.90,110530.20,3,2023-04-26 09:30:00,2023-04-26 15:15:00,2022-2024 (blind test)
2023-04-27,Thursday,13,12,0,1,1,12,7.7,-949.92,109580.28,3,2023-04-27 09:30:00,2023-04-27 15:30:00,2022-2024 (blind test)
2023-04-28,Friday,3,1,1,1,0,3,0.0,-343.02,109237.26,3,2023-04-28 10:00:00,2023-04-28 10:15:00,2022-2024 (blind test)
2023-05-01,Monday,6,2,0,4,0,6,0.0,-626.04,108611.22,3,2023-05-01 09:30:00,2023-05-01 14:45:00,2022-2024 (blind test)
2023-05-02,Tuesday,8,5,0,3,1,7,12.5,-144.72,108466.50,3,2023-05-02 09:45:00,2023-05-02 11:45:00,2022-2024 (blind test)
2023-05-03,Wednesday,9,3,0,6,2,7,22.2,440.94,108907.44,3,2023-05-03 09:30:00,2023-05-03 15:45:00,2022-2024 (blind test)
2023-05-04,Thursday,4,2,1,1,1,3,25.0,-120.36,108787.08,3,2023-05-04 09:45:00,2023-05-04 10:30:00,2022-2024 (blind test)
2023-05-05,Friday,12,8,1,3,4,8,33.3,522.42,109309.50,3,2023-05-05 09:45:00,2023-05-05 15:00:00,2022-2024 (blind test)
2023-05-08,Monday,3,2,0,1,0,3,0.0,-313.02,108996.48,3,2023-05-08 09:45:00,2023-05-08 13:45:00,2022-2024 (blind test)
2023-05-09,Tuesday,4,1,0,3,1,3,25.0,-291.36,108705.12,3,2023-05-09 09:45:00,2023-05-09 15:45:00,2022-2024 (blind test)
2023-05-10,Wednesday,7,4,0,3,3,4,42.9,898.62,109603.74,3,2023-05-10 09:45:00,2023-05-10 15:30:00,2022-2024 (blind test)
2023-05-11,Thursday,5,2,1,2,1,4,20.0,-317.70,109286.04,3,2023-05-11 10:30:00,2023-05-11 14:45:00,2022-2024 (blind test)
2023-05-12,Friday,6,5,0,1,2,4,33.3,219.96,109506.00,3,2023-05-12 10:15:00,2023-05-12 14:15:00,2022-2024 (blind test)
2023-05-15,Monday,7,3,1,3,3,4,42.9,27.12,109533.12,3,2023-05-15 09:30:00,2023-05-15 13:15:00,2022-2024 (blind test)
2023-05-16,Tuesday,5,2,1,2,2,3,40.0,79.80,109612.92,3,2023-05-16 09:45:00,2023-05-16 11:30:00,2022-2024 (blind test)
2023-05-17,Wednesday,9,5,1,3,4,5,44.4,934.44,110547.36,3,2023-05-17 09:30:00,2023-05-17 14:15:00,2022-2024 (blind test)
2023-05-18,Thursday,10,7,1,2,3,7,30.0,722.10,111269.46,3,2023-05-18 09:45:00,2023-05-18 15:45:00,2022-2024 (blind test)
2023-05-19,Friday,3,1,0,2,1,2,33.3,-8.52,111260.94,3,2023-05-19 09:30:00,2023-05-19 12:00:00,2022-2024 (blind test)
2023-05-22,Monday,2,1,0,1,0,2,0.0,-208.68,111052.26,3,2023-05-22 09:45:00,2023-05-22 09:45:00,2022-2024 (blind test)
2023-05-23,Tuesday,11,7,1,3,2,9,18.2,-552.24,110500.02,3,2023-05-23 09:45:00,2023-05-23 15:30:00,2022-2024 (blind test)
2023-05-24,Wednesday,8,5,0,3,2,6,25.0,-269.22,110230.80,3,2023-05-24 09:30:00,2023-05-24 15:30:00,2022-2024 (blind test)
2023-05-25,Thursday,7,5,0,2,1,6,14.3,-622.38,109608.42,3,2023-05-25 09:45:00,2023-05-25 14:15:00,2022-2024 (blind test)
2023-05-26,Friday,11,9,0,2,2,9,18.2,130.26,109738.68,3,2023-05-26 09:45:00,2023-05-26 15:00:00,2022-2024 (blind test)
2023-05-29,Monday,3,3,0,0,0,3,0.0,-232.02,109506.66,3,2023-05-29 09:45:00,2023-05-29 12:45:00,2022-2024 (blind test)
